threshold,median,mean,min,max,description
0.3897371714643304,0.4943455928829034,0.4943455928829034,0.49302657392545035,0.4956646118403565,"MLPRegressor, hidden layers: (100,), solver: lbfgs"
0.4152690863579474,0.52766178803664,0.52766178803664,0.5239580618310534,0.5313655142422266,"MLPRegressor, hidden layers: (60, 60), solver: lbfgs"
0.03304130162703379,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.03529411764705882,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPRegressor, hidden layers: (100,), solver: sgd"
0.0,0.0411522633744856,0.0411522633744856,0.0411522633744856,0.0411522633744856,"MLPRegressor, hidden layers: (60, 60), solver: sgd"
0.032290362953692114,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: sgd"
0.5384230287859825,0.4418211567790522,0.4418211567790522,0.44131177547284933,0.4423305380852551,"MLPRegressor, hidden layers: (100,), solver: adam"
0.597747183979975,0.48711121261050966,0.48711121261050966,0.48424159375988196,0.48998083146113736,"MLPRegressor, hidden layers: (60, 60), solver: adam"
0.0555694618272841,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: adam"
0.000750938673341677,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPClassifier, hidden layers: (100,), solver: lbfgs"
0.000750938673341677,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPClassifier, hidden layers: (60, 60), solver: lbfgs"
0.000750938673341677,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.000750938673341677,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPClassifier, hidden layers: (100,), solver: sgd"
0.000750938673341677,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPClassifier, hidden layers: (60, 60), solver: sgd"
0.000750938673341677,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: sgd"
0.000750938673341677,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPClassifier, hidden layers: (100,), solver: adam"
0.000750938673341677,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPClassifier, hidden layers: (60, 60), solver: adam"
0.000750938673341677,0.48903508771929827,0.48903508771929827,0.48903508771929827,0.48903508771929827,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: adam"
